大清三藏圣教,雍正皇帝等制
佛说善夜经,唐三藏法师义净
佛说虚空藏菩萨能满诸愿最胜心陀罗尼求闻持法,唐三藏法师输波迦罗
佛说佛地经,唐三藏法师玄奘
百千印陀罗尼经,唐三藏沙门实叉难陀
庄严王陀罗尼经,唐三藏法师义净
香王菩萨陀罗尼咒经,唐三藏法师义净
优婆夷净行法门经,出安公凉土录失译师名
诸法最上王经,隋天竺沙门阇那崛多
文殊师利般涅槃经,西晋优婆塞聂道真
异出菩萨本起经,西晋优婆塞聂道真
佛说贤首经,姚秦三藏法师释圣坚
千佛因缘经,姚秦三藏法师鸠摩罗什
八大人觉经,后汉安息三藏安世高
佛说月明菩萨经,吴月支优婆塞支谦
佛说心明经,西晋三藏法师竺法护
佛说灭十方冥经,西晋三藏法师竺法护
佛说鹿母经,西晋三藏法师竺法护
佛说魔逆经,西晋三藏法师竺法护
佛说赖吒和罗所问德光太子经,西晋三藏法师竺法护
商主天子所问经,隋天竺沙门阇那崛多
大乘四法经,唐三藏沙门实叉难陀
离垢慧菩萨所问礼佛法经,唐中天竺沙门那提
寂照神变三摩地经,唐三藏法师玄奘
佛说造塔功德经,唐中天竺沙门地婆诃罗
佛说不增不减经,元魏天竺三藏菩提留支
佛说坚固女经,隋天竺三藏那连提耶舍
佛说大乘流转诸有经,唐三藏法师义净
佛说大意经,刘宋天竺三藏求那跋陀罗
受持七佛名号所生功德经,唐三藏法师玄奘
金刚光焰止风雨陀罗尼经,唐南天竺三藏菩提流志
大毗卢遮那成佛神变加持经,唐中天竺三藏输婆迦罗共一行
苏婆呼童子经,唐中天竺三藏输婆迦诃罗共一行
一字佛顶轮王经,唐南天竺三藏菩提流志
苏悉地羯罗经,唐中天竺三藏输婆迦诃罗
金刚顶瑜伽中略出念诵经,唐南天竺沙门金刚智
广大宝楼阁善住秘密陀罗尼经,唐南天竺三藏菩提流志
牟梨曼陀罗咒经,失译人名开元附梁录
金刚顶经曼殊室利菩萨五字心陀罗尼品,唐南天竺沙门金刚智
观自在如意轮菩萨瑜伽法要,唐南天竺沙门金刚智
佛说救面然饿鬼陀罗尼神咒经,唐于阗国三藏实叉难陀
